rep1	rep2
ENSG00000223972	1.77939482493965	0
ENSG00000227232	40.0363835611421	40.4631951216572
ENSG00000243485	2.66909223740947	0
ENSG00000237613	0	0
ENSG00000268020	0	0
ENSG00000240361	0	0
ENSG00000186092	0	0
ENSG00000238009	14.2351585995172	11.2397764226825
ENSG00000239945	0	0
ENSG00000233750	179.718877318904	130.381406503118
ENSG00000268903	0	0
ENSG00000269981	0	0
ENSG00000239906	0	0
ENSG00000241860	159.255836832098	162.976758128897
ENSG00000241599	5.33818447481894	11.2397764226825
ENSG00000228463	26.6909223740947	34.8433069103159
ENSG00000241670	0	0
ENSG00000236679	0	0
ENSG00000236743	0	0
ENSG00000236601	0	0
ENSG00000237094	153.917652357279	128.133451218581
ENSG00000269732	0	0
ENSG00000235249	0	0
ENSG00000224813	0	0
ENSG00000233653	0	0
ENSG00000250575	16.9042508369266	8.99182113814604
ENSG00000230021	1.77939482493965	2.24795528453651
ENSG00000235146	0	0
ENSG00000225972	1056.07082860168	1418.45978454254
ENSG00000225630	23.1321327242154	23.6035304876334
ENSG00000237973	316.732278839257	493.426184955764
ENSG00000229344	33.8085016738533	33.7193292680476
ENSG00000240409	0	1.12397764226825
ENSG00000248527	41.8157783860817	34.8433069103159
ENSG00000198744	4624.64715001814	5663.72333938974
ENSG00000268663	0	0
ENSG00000273547	0	0
ENSG00000283574	0	0
ENSG00000229376	2.66909223740947	2.24795528453651
ENSG00000228327	478.657207908765	468.698676825862
ENSG00000229905	2.66909223740947	2.24795528453651
ENSG00000237491	64.9479111102971	78.6784349587778
ENSG00000230092	15.124856011987	8.99182113814604
ENSG00000177757	5.33818447481894	3.37193292680476
ENSG00000228794	473.319023433946	441.723213411424
ENSG00000225880	10.6763689496379	15.7356869917556
ENSG00000230368	5.33818447481894	0
ENSG00000234711	0	0
ENSG00000283040	0	0
ENSG00000272438	3.55878964987929	7.86784349587778
ENSG00000230699	17.7939482493965	29.2234186989746
ENSG00000241180	0	0
ENSG00000223764	42.7054757985515	43.8351280484619
ENSG00000187634	80.9624645347539	75.3065020319731
ENSG00000188976	6470.76928089303	4945.50162598032
ENSG00000187961	867.454977158078	783.412416660974
ENSG00000187583	16.9042508369266	16.8596646340238
ENSG00000187642	9.78667153716806	4.49591056907302
ENSG00000272512	8.89697412469823	20.2315975608286
ENSG00000188290	124.557637745775	198.944042681481
ENSG00000187608	485.774787208524	544.005178857835
ENSG00000231702	0	0
ENSG00000224969	1.77939482493965	5.61988821134127
ENSG00000188157	11476.2069234483	11443.2163759331
ENSG00000242590	0	0
ENSG00000217801	14.2351585995172	39.3392174793889
ENSG00000273443	3.55878964987929	2.24795528453651
ENSG00000237330	0.889697412469823	0
ENSG00000131591	730.441575637725	726.089556905293
ENSG00000223823	1.77939482493965	0
ENSG00000272141	7.11757929975859	8.99182113814604
ENSG00000205231	0.889697412469823	4.49591056907302
ENSG00000162571	11.5660663621077	13.4877317072191
ENSG00000186891	16.0145534244568	3.37193292680476
ENSG00000186827	0.889697412469823	6.74386585360953
ENSG00000078808	4058.79959568733	3491.0745568852
ENSG00000176022	1975.12825568301	1750.03318901167
ENSG00000184163	46.2642654484308	41.5871727639254
ENSG00000260179	27.5806197865645	12.3637540649508
ENSG00000160087	3298.9980054381	2528.94969510357
ENSG00000230415	20.4630404868059	17.9836422762921
ENSG00000162572	171.711600606676	180.960400405189
ENSG00000131584	2185.09684502589	1907.39005892923
ENSG00000169972	832.756778071755	717.097735767147
ENSG00000127054	4518.77315793423	3794.54852029763
ENSG00000240731	101.42550502156	89.9182113814604
ENSG00000224051	750.014918712061	631.675434954759
ENSG00000169962	28.4703171990343	23.6035304876334
ENSG00000107404	3330.13741487455	2740.25749185001
ENSG00000162576	2109.47256496595	2171.52480486227
ENSG00000175756	3632.63453511429	2924.589825182
ENSG00000223663	3.55878964987929	2.24795528453651
ENSG00000221978	6219.87461057653	4854.45943695659
ENSG00000224870	725.103391162906	669.89067479188
ENSG00000242485	2765.17955795621	2158.03707315505
ENSG00000272455	204.630404868059	182.084378047457
ENSG00000235098	50.7127525107799	47.2070609752667
ENSG00000225905	2.66909223740947	5.61988821134127
ENSG00000205116	44.4848706234912	28.0994410567064
ENSG00000225285	52.4921473357196	31.4713739835111
ENSG00000179403	1626.36686999484	1264.47484755179
ENSG00000215915	59.6097266354782	53.9509268288762
ENSG00000160072	2903.9723543015	1754.52909958075
ENSG00000197785	2779.41471655573	1947.85325405089
ENSG00000205090	128.116427395655	161.852780486629
ENSG00000160075	5757.23195609223	4988.21277638652
ENSG00000215014	26.6909223740947	28.0994410567064
ENSG00000274481	0	0
ENSG00000228594	419.937178685757	531.641424792885
ENSG00000272106	200.18191780571	221.423595526846
ENSG00000197530	1312.30368339299	1113.86184348784
ENSG00000189409	47.1539628609006	62.9427479670223
ENSG00000248333	1645.0505156567	1373.50067885181
ENSG00000272004	0	0
ENSG00000189339	5718.97496735602	5633.37594304849
ENSG00000269737	105.873992083909	70.8105914629001
ENSG00000215914	0.889697412469823	0
ENSG00000008128	118.329755858487	89.9182113814604
ENSG00000268575	152.13825753234	151.736981706214
ENSG00000227775	346.981990863231	375.408532517597
ENSG00000215790	285.592869402813	249.523036583553
ENSG00000008130	3329.24771746208	3006.64019306758
ENSG00000078369	23060.0672338054	23187.6587599941
ENSG00000231050	7.11757929975859	6.74386585360953
ENSG00000169885	11.5660663621077	17.9836422762921
ENSG00000178821	287.372264227753	310.217829266038
ENSG00000142609	22.2424353117456	21.3555752030968
ENSG00000233542	6.22788188728876	1.12397764226825
ENSG00000187730	55.161239573129	50.5789939020715
ENSG00000226969	6.22788188728876	0
ENSG00000067606	1066.74719755132	845.231186985728
ENSG00000271806	14.2351585995172	14.6117093494873
ENSG00000182873	126.337032570715	106.777876015484
ENSG00000162585	2349.6908663328	2111.95398982205
ENSG00000234396	0	0
ENSG00000157933	6287.49161392424	5795.22872353512
ENSG00000116151	185.057061793723	161.852780486629
ENSG00000272161	5.33818447481894	0
ENSG00000269896	92.5285308968616	62.9427479670223
ENSG00000272420	8.00727671222841	5.61988821134127
ENSG00000157916	2876.39173451494	2287.2945020159
ENSG00000157911	994.681707141262	914.917800806359
ENSG00000149527	56.0509369855989	37.0912621948524
ENSG00000224387	5.33818447481894	0
ENSG00000229393	2.66909223740947	0
ENSG00000157881	1119.23934488704	1191.41630080435
ENSG00000197921	81.8521619472237	121.389585364972
ENSG00000272449	16.9042508369266	31.4713739835111
ENSG00000238164	6.22788188728876	5.61988821134127
ENSG00000157873	14.2351585995172	16.8596646340238
ENSG00000225931	0	0
ENSG00000228037	0.889697412469823	5.61988821134127
ENSG00000157870	2129.04590804029	1865.8028861653
ENSG00000142606	5.33818447481894	12.3637540649508
ENSG00000237058	0.889697412469823	0
ENSG00000215912	42.7054757985515	26.9754634144381
ENSG00000283259	0	0
ENSG00000233234	0	0
ENSG00000231630	0	0
ENSG00000169717	3.55878964987929	2.24795528453651
ENSG00000177133	2.66909223740947	11.2397764226825
ENSG00000142611	75.624280059935	178.712445120653
ENSG00000226286	0	0
ENSG00000279839	0.889697412469823	2.24795528453651
ENSG00000272235	1.77939482493965	4.49591056907302
ENSG00000130762	1431.52313666395	990.224302838333
ENSG00000272088	1.77939482493965	4.49591056907302
