gene_id_human	gene_name_human	mean_tpm_human	gene_id_mouse	gene_name_mouse	mean_tpm_mouse	baseMean	log2FoldChange	lfcSE	padj	sig
ENSG00000197921	HES5	101.62087365609786	ENSMUSG00000048001	Hes5	0.0	42.46306275133129	9.22048836145186	1.28830744733884	1.7075935217717098e-12	sig
ENSG00000142611	PRDM16	127.16836259029401	ENSMUSG00000039410	Prdm16	1160.1831270734167	726.532276800907	-3.0874305325073	0.291774584966313	1.0498175649149197e-25	sig
ENSG00000078900	TP73	104.87566646800329	ENSMUSG00000029026	Trp73	1094.7852785849166	679.159978544556	-3.28892212717139	0.188538473076614	2.1714319358441898e-67	sig
ENSG00000173673	HES3	1260.85039458491	ENSMUSG00000028946	Hes3	6.791384563737914	529.616566682107	7.61883184159569	0.348307514037806	4.031739591577429e-105	sig
ENSG00000069812	HES2	30.3222659359704	ENSMUSG00000028940	Hes2	11.737072389258254	19.474793077317603	1.49363984111611	0.690206521015174	0.0392363286763781	not sig
ENSG00000204859	ZBTB48	699.3433071066866	ENSMUSG00000028952	Zbtb48	958.237803542684	847.501906073348	-0.34448134028438204	0.12971140729134598	0.010673505237796	not sig
ENSG00000009709	PAX7	240.23958114551053	ENSMUSG00000028736	Pax7	8.37221096853734	105.367705913806	4.965286576111651	0.503225436032589	1.56174079798653e-22	sig
ENSG00000125945	ZNF436	322.2368509167265	ENSMUSG00000051351	Zfp46	659.7649587528846	517.530217411667	-0.9272202545354978	0.204616793686907	9.46701452158891e-06	not sig
ENSG00000007968	E2F2	582.324385613543	ENSMUSG00000018983	E2f2	737.4783035328245	671.003203417142	-0.234383602366978	0.123639587021238	0.0727450975877544	not sig
ENSG00000020633	RUNX3	32.9676464200179	ENSMUSG00000070691	Runx3	41.45226341656683	37.7999218611619	-0.22494537761379202	0.45736705141299	0.6626579860505871	not sig
ENSG00000131914	LIN28A	69580.22343925244	ENSMUSG00000050966	Lin28a	27002.710538520132	44677.3923920282	1.47341630335042	0.0666985475542363	3.468895304830809e-107	sig
ENSG00000162419	GMEB1	1729.618382689825	ENSMUSG00000028901	Gmeb1	3377.2940746416534	2681.47776088542	-0.857589574665232	0.0688463402290553	4.539583864587029e-35	not sig
ENSG00000116819	TFAP2E	19.972186925757647	ENSMUSG00000042477	Tfap2e	7.472351598652916	12.638706188341999	1.54171674043347	0.857686819916689	0.0899088585605715	not sig
ENSG00000188786	MTF1	1135.001378271415	ENSMUSG00000028890	Mtf1	2381.2585475231035	1855.3062399753799	-0.9603491773293531	0.0885364973926521	6.136258060374e-27	not sig
ENSG00000185668	POU3F1	667.6935883115646	ENSMUSG00000090125	Pou3f1	189.88675769237736	388.804504632024	1.91899535459591	0.16053833995555802	2.0863895839709098e-32	sig
ENSG00000163909	HEYL	306.0354407691955	ENSMUSG00000032744	Heyl	0.3749465992166867	128.212474970698	9.8507642281416	1.2419178400432902	4.793625730008229e-15	sig
ENSG00000116990	MYCL	2107.280139770485	ENSMUSG00000028654	Mycl	2190.478670305834	2150.7076464717497	0.0518846636605254	0.0960152496893516	0.6326670466519089	not sig
ENSG00000187815	ZFP69	273.598978157397	ENSMUSG00000064141	Zfp69	113.91025056743734	180.165625722374	1.3739397687933301	0.21839390166973002	6.034069524174351e-10	sig
ENSG00000066136	NFYC	2058.417512015615	ENSMUSG00000032897	Nfyc	3476.789418480123	2875.70258280075	-0.647689003185933	0.090117103887468	1.37291285986965e-12	not sig
ENSG00000204060	FOXO6	114.87290648160752	ENSMUSG00000052135	Foxo6	351.00405855044636	251.652165283743	-1.5087315203299099	0.205202420988721	4.1027787749252503e-13	sig
ENSG00000127124	HIVEP3	97.73153811106155	ENSMUSG00000028634	Hivep3	6.596657576418959	44.528826843020106	3.9982128199615197	0.5399349718647399	2.77648334683995e-13	sig
ENSG00000198815	FOXJ3	3621.46710993904	ENSMUSG00000032998	Foxj3	4155.833914632321	3921.96414191257	-0.0896248452361047	0.0626473294644826	0.18292074675003397	not sig
ENSG00000065978	YBX1	52665.5909076445	ENSMUSG00000028639	Ybx1	59624.82488605027	56566.6760628664	-0.0706309699396796	0.0414839628625754	0.109251879568987	not sig
ENSG00000164011	ZNF691	672.3512251984396	ENSMUSG00000045268	Zfp691	348.1957073856693	482.498816653527	1.0602668589259199	0.137192892925777	2.37918994321638e-14	sig
ENSG00000171872	KLF17	2.01367505473808	ENSMUSG00000048626	Klf17	23.90712087941813	14.714404384068	-3.47577497553271	0.991754250422328	0.000673082692559338	sig
ENSG00000197587	DMBX1	73.4754277445779	ENSMUSG00000028707	Dmbx1	132.81728634026166	107.735940271032	-0.7463067190017891	0.282368997121966	0.0110686105943801	not sig
ENSG00000162367	TAL1	15.944836816281489	ENSMUSG00000028717	Tal1	45.2054024634996	32.8574559862788	-1.3823482663322	0.657433815152706	0.0454377989448865	not sig
