gene_id_human	gene_name_human	mean_tpm_human	gene_id_mouse	gene_name_mouse	mean_tpm_mouse	AveExpr	logFC	adj.P.Val	sig	neg_log_padj
ENSG00000142611	PRDM16	55.60171931393052	ENSMUSG00000039410	Prdm16	612.9532598778443	2.51044671546865	4.9643059495079696	1.77113910887762e-10	sig	9.75174732709601
ENSG00000078900	TP73	117.89738702900912	ENSMUSG00000029026	Trp73	239.67403997539466	2.53011198126513	2.55295166512246	4.2162995819027293e-07	sig	6.375068538652989
ENSG00000173673	HES3	272.2086984318483	ENSMUSG00000028946	Hes3	0.0	-1.11995092158583	-7.61133669739624	1.59072789105988e-10	sig	9.79840410414858
ENSG00000204859	ZBTB48	1251.4373247161436	ENSMUSG00000028952	Zbtb48	342.804146005051	4.430456687201519	-0.387987335607009	0.0568641883880567	not sig	1.2451611550776984
ENSG00000125945	ZNF436	136.43461598889067	ENSMUSG00000051351	Zfp46	177.66594867685967	2.2229686566861497	1.83688763156479	4.65633383365343e-06	sig	5.33195589070434
ENSG00000007968	E2F2	369.97795348568866	ENSMUSG00000018983	E2f2	168.22400222242567	3.1073847957776897	0.347509621780713	0.210031979956584	not sig	0.6777145735458046
ENSG00000020633	RUNX3	21.094135468823467	ENSMUSG00000070691	Runx3	12.521235276501011	-0.984406086129418	0.501136710931952	0.3980942497787221	not sig	0.4000140954814798
ENSG00000131914	LIN28A	122983.12552672032	ENSMUSG00000050966	Lin28a	1748.28417836753	8.96497033695834	-4.6761638203586395	1.72461188752855e-11	sig	10.763308624688904
ENSG00000162419	GMEB1	1639.4627774353967	ENSMUSG00000028901	Gmeb1	830.2038706724796	5.448549977194671	0.483815713902464	0.00214620967591099	not sig	2.6683278515020166
ENSG00000188786	MTF1	1063.2030280717424	ENSMUSG00000028890	Mtf1	865.6545483012401	5.0748497409811195	1.16926861360352	5.821097095872679e-07	sig	6.234995156624751
